value,label,per,ra,dec,t14,tt
80,HATS-14 b,2.766741,21.13076444,-26.09638889,0.11009,2456408.765
81,HATS-2 b,1.354133,11.78260278,-22.563,0.0862,2455954.586
82,HATS-3 b,3.547851,20.8305,-24.42880556,0.1494,2456155.097
83,HATS-4 b,2.156729,6.274138334,-22.54666667,0.1053,2455808.341
84,HATS-5 b,4.763387,4.481519445,-21.48191667,0.1244,2456273.791
85,HATS-6 b,3.3252725,5.876453055,-19.03138889,0.08504,2456643.741
86,HATS-9 b,1.9153073,19.3873,-20.16630556,0.1457,2456124.259
87,HD 149026 b,2.8758911,16.50824444,38.34718056,0.135,2454456.788
88,HD 17156 b,21.21663,2.828977778,71.75331111,0.13375,2454756.731
89,HD 189733 b,2.21857567,20.01214167,22.71146111,0.0759722,2454279.437
90,HD 209458 b,3.52474859,22.05298611,18.88436389,0.127737,2452826.629
91,HD 80606 b,111.4367,9.377091666,50.60370556,0.504,2454876.344
92,K2-21 b,9.32414,22.68691222,-14.48888889,0.096,2440000
93,K2-21 c,15.5012,22.68691222,-14.48888889,0.0956,2440000
94,K2-22 b,0.381078,11.29885306,2.618888889,0.03,4896811.121
95,K2-3 b,10.05403,11.48899667,-1.454786111,0.1064,2456813.419
96,K2-3 c,24.6454,11.48899667,-1.454786111,0.1428,2456812.279
97,K2-3 d,44.5631,11.48899667,-1.454786111,0.166,2456826.223
98,KELT-2 A b,4.1137912,6.177591667,30.95714722,0.2155,2455974.603
99,KELT-3 b,2.70339,9.909552222,40.38802778,0.1316,2456023.459
100,KELT-6 b,7.8457,13.06545778,30.64002778,0.23,2456347.797
101,KELT-7 b,2.7347749,5.2197,33.31828611,0.1463,2456223.959
102,Kepler-10 b,0.837495,19.04529528,50.24130556,0.0757359,2454964.574
103,Kepler-10 c,45.29485,19.04529528,50.24130556,0.285958,2454971.676
104,Kepler-1000 b,120.0181272,19.11236944,47.09822222,0.4835,2454967.189
105,Kepler-1001 b,14.30511983,19.084925,48.61869444,0.18537,2454968.066
106,Kepler-1002 b,4.33642933,19.53863333,43.07372222,0.170963,2454966.856
107,Kepler-1003 b,3.55485691,19.46803056,44.87622222,0.087608,2454964.804
108,Kepler-1004 b,5.28789787,19.82395278,49.79755556,0.35533,2454968.364
109,Kepler-1005 b,6.49801525,19.08573333,43.32047222,0.096529,2454969.001
110,Kepler-1006 b,19.76172042,19.71694167,42.53747222,0.149608,2454968.176
111,Kepler-1007 b,5.18500207,19.72710278,45.80911111,0.090712,2454964.879
112,Kepler-1008 b,12.43931193,19.76983611,44.94194444,0.13004,2454969.378
113,Kepler-1009 b,11.35011917,18.85732778,42.66577778,0.098992,2454967.045
114,Kepler-101 b,3.487691,18.8837,48.35522778,0.15975,2455003.9
115,Kepler-101 c,6.029809,18.8837,48.35523056,0.167917,2454965.482
116,Kepler-1010 b,34.2685705,19.27950833,44.14933333,0.200767,2454980.052
117,Kepler-1011 b,5.75322197,19.82676944,46.824,0.070117,2454969.756
118,Kepler-1012 b,5.50860439,19.28641667,46.45794444,0.122783,2454965.298
119,Kepler-1013 b,18.93054959,19.34987222,44.43525,0.13933,2454976.252
120,Kepler-1014 b,16.57110363,19.00813611,44.11061111,0.123387,2454966.903
121,Kepler-1015 b,16.00494214,19.51715556,43.42691667,0.269367,2454968.254
122,Kepler-1016 b,1.95452434,19.64090833,45.98461111,0.08733,2454965.297
123,Kepler-1016 c,105.6551369,19.64090833,45.98461111,0.38512,2455063.1
124,Kepler-1017 b,7.23400469,18.89795833,40.13261111,0.0902,2454970.677
125,Kepler-1018 b,49.1013514,18.90644722,45.40788889,0.26346,2454969.47
126,Kepler-1019 b,1.41122985,18.91450278,47.20444444,0.057967,2454965.642
127,Kepler-1020 b,96.9151496,19.51150278,46.37741667,0.24985,2455020.089
128,Kepler-1021 b,13.47469571,19.68032778,42.55969444,0.109058,2454966.492
129,Kepler-1022 b,10.99469878,19.29013333,46.97372222,0.068475,2454970.358
130,Kepler-1023 b,62.1387714,19.26865,49.76969444,0.173242,2454994.148
131,Kepler-1024 b,66.4162133,19.4634,38.25169444,0.29021,2455021.134
132,Kepler-1025 b,37.3229493,18.96734722,43.96166667,0.292529,2454985.835
133,Kepler-1026 b,36.5156053,18.90701667,39.99797222,0.1495,2454984.292
134,Kepler-1027 b,1.9078052,19.17141111,42.81391667,0.077213,2454964.641
135,Kepler-1028 b,2.51462432,19.30620556,49.78116667,0.067054,2454965.91
136,Kepler-1029 b,4.41769648,19.47553056,41.54752778,0.079837,2454966.961
137,Kepler-1030 b,19.32952416,19.57879444,45.81755556,0.157087,2454966.268
138,Kepler-1031 b,1.22621732,19.73931667,48.95538889,0.089525,2454965.687
139,Kepler-1032 b,3.29011795,19.328725,40.09775,0.064454,2454966.157
140,Kepler-1033 b,7.56052806,18.92300833,44.60908333,0.159425,2454967.479
141,Kepler-1034 b,12.12400943,19.07435833,37.967,0.138067,2454967.956
142,Kepler-1035 b,2.71407755,19.26948056,42.8825,0.052575,2454966.712
143,Kepler-1036 b,122.8808058,19.678775,49.94577778,0.34504,2454998.457
144,Kepler-1037 b,1.06378867,19.75606944,47.17086111,0.04485,2454964.525
145,Kepler-1038 b,148.4603382,19.93147778,44.13238889,0.22508,2454984.386
146,Kepler-1039 b,0.93488424,19.88843889,45.31552778,0.059058,2454964.582
147,Kepler-104 c,23.668205,19.17363889,42.16678056,0.244667,2454965.716
148,Kepler-104 d,51.755394,19.17363889,42.16678056,0.311042,2455104.086
149,Kepler-1040 b,201.1214,18.87425278,48.13138889,0.44062,2455020.561
150,Kepler-1041 b,24.7576421,19.59211667,49.68316667,0.30671,2454975.069
151,Kepler-1042 b,10.13202575,19.24459444,39.824,0.130733,2454965.91
152,Kepler-1043 b,38.5053398,18.77753333,47.56858333,0.24887,2454991.302
153,Kepler-1044 b,6.77408868,19.54296389,46.66625,0.10915,2454968.955
154,Kepler-1045 b,26.41045478,18.94555278,45.07411111,0.12483,2454982.395
155,Kepler-1046 b,14.37508035,19.78371667,46.99827778,0.123575,2454972.059
156,Kepler-1047 b,56.1886887,19.24308333,50.78897222,0.25371,2454979.38
157,Kepler-1047 c,3.18897601,19.24308333,50.78897222,0.1038,2454966.529
158,Kepler-1048 b,6.92101021,18.79322222,42.16577778,0.176954,2454968.645
159,Kepler-1049 b,3.27346074,19.15645,47.77294444,0.073883,2454967.447
160,Kepler-105 c,7.125939,19.19248889,46.27623889,0.11675,2454972.004
161,Kepler-1050 b,15.3787546,18.86166667,48.62638889,0.18221,2454976.411
162,Kepler-1050 c,21.1284569,18.86166667,48.62638889,0.15788,2454982.279
163,Kepler-1051 b,25.96200249,19.67720833,40.89886111,0.261233,2454971.966
164,Kepler-1052 b,34.8538276,19.68951667,46.60227778,0.223238,2454997.044
165,Kepler-1053 b,2.41435165,19.42790833,39.12741667,0.051033,2454965.429
166,Kepler-1054 b,4.30655689,19.37341111,44.55638889,0.169571,2454965.442
167,Kepler-1055 b,2.29503623,19.36578611,44.93261111,0.068579,2454965.693
168,Kepler-1056 b,27.495606,19.9684,46.89925,0.20933,2454966.284
169,Kepler-1057 b,14.08827448,19.83014444,41.55811111,0.173396,2454970.344
170,Kepler-1058 b,110.96546,19.63971944,45.87502778,0.53504,2455020.043
171,Kepler-1059 b,3.76419105,19.28134722,41.70647222,0.085817,2454965.351
172,Kepler-1060 b,46.8779367,19.06834722,39.63091667,0.40146,2454970.663
173,Kepler-1061 b,2.75798267,19.74866667,50.27522222,0.095442,2454964.879
174,Kepler-1062 b,9.30412078,18.92662778,41.22161111,0.078808,2454973.34
175,Kepler-1063 b,14.07971466,19.36845,38.14297222,0.055642,2454972.958
176,Kepler-1064 b,16.54080322,19.44944167,37.68894444,0.106,2454966.954
177,Kepler-1065 b,3.60930891,19.63408333,38.7905,0.0727,2454966.791
178,Kepler-1065 c,2.37030743,19.63408333,38.7905,0.07687,2454966.675
179,Kepler-1066 b,1.93155984,19.92443889,46.50225,0.067846,2454964.766
180,Kepler-1067 b,0.76212926,19.02582778,45.04905556,0.04483,2454964.62
181,Kepler-1068 b,16.92344113,19.64321111,46.39236111,0.169242,2454978.812
182,Kepler-1069 b,23.8990296,19.39862222,47.989,0.65508,2454984.4
183,Kepler-107 b,3.179997,19.80188056,48.20861111,0.1455,2454966.499
184,Kepler-107 c,4.901425,19.80188056,48.20861111,0.174958,2454971.607
185,Kepler-107 d,7.958203,19.80188056,48.20861111,0.178167,2454970.8
186,Kepler-107 e,14.749049,19.80188056,48.20861111,0.2745,2454971.78
187,Kepler-1070 b,6.2216147,19.54635833,49.3165,0.135858,2454964.991
188,Kepler-1071 b,6.1799844,19.5372,45.24880556,0.087746,2454965.722
189,Kepler-1072 b,1.5690665,19.469625,46.32902778,0.115979,2454966.04
190,Kepler-1073 b,8.67888593,19.61018056,38.23305556,0.145075,2454966.038
191,Kepler-1073 c,4.02582254,19.61018056,38.23305556,0.115271,2454968.426
192,Kepler-1074 b,5.94566534,18.96510278,46.25258333,0.090571,2454966.993
193,Kepler-1075 b,1.52372816,19.16674444,47.46927778,0.06105,2454964.619
194,Kepler-1076 b,6.14727918,19.17267222,51.06058333,0.115113,2454967.874
195,Kepler-1077 b,34.3511874,19.40224167,42.26786111,0.17592,2454967.19
196,Kepler-1078 b,3.00725242,19.54670556,43.05002778,0.18067,2454964.903
197,Kepler-1079 b,13.24503188,19.96996667,45.76975,0.18196,2454975.007
198,Kepler-108 b,49.183921,19.63728056,46.06233056,0.469875,2454974.911
199,Kepler-108 c,190.323494,19.63728056,46.06233056,0.654167,2455145.673
200,Kepler-1080 b,77.2548396,19.76430278,49.18291667,0.42892,2454992.322
201,Kepler-1081 b,3.85691855,19.2963,41.31775,0.082662,2454967.472
202,Kepler-1082 b,1.5432066,19.29057778,50.59847222,0.108725,2454964.556
203,Kepler-1083 b,33.4177993,18.87746389,45.19830556,0.18954,2454988.589
204,Kepler-1084 b,2.05333679,19.34013056,48.25113889,0.098963,2454967.518
205,Kepler-1085 b,219.3217528,19.16517778,46.14119444,0.51492,2455153.729
206,Kepler-1086 b,18.78425728,19.68341111,45.84297222,0.134746,2454970.883
207,Kepler-1086 c,161.5163345,19.68341111,45.84297222,0.269,2455009.498
208,Kepler-1087 b,0.69384285,19.66525556,46.00566667,0.063483,2454965.18
209,Kepler-1088 b,23.12748644,18.77076389,42.4505,0.20513,2454978.66
210,Kepler-1089 b,5.13248562,19.40618333,49.19005556,0.06796,2454965.159
211,Kepler-1090 b,198.680179,19.71085833,44.52583333,0.34529,2455103.669
212,Kepler-1091 b,1.43474156,19.98569722,43.67075,0.078379,2454965.629
213,Kepler-1092 b,58.6017925,19.84820833,47.11266667,0.23096,2454970.669
214,Kepler-1093 b,25.0824626,18.99853333,41.42016667,0.26488,2454967.133
215,Kepler-1093 c,89.722292,18.99853333,41.42016667,0.44492,2454996.159
216,Kepler-1094 b,78.1000231,19.48675,38.26702778,0.34675,2454972.496
217,Kepler-1095 b,4.27103091,19.55083056,41.36511111,0.094733,2454966.14
218,Kepler-1096 b,2.89221751,19.64729167,45.9695,0.056904,2454965.877
219,Kepler-1097 b,187.747029,18.77294444,42.59641667,0.22533,2454990.358
220,Kepler-1098 b,2.54307286,19.70018056,43.23280556,0.114558,2454965.679
221,Kepler-1099 b,2.16845259,19.24999722,48.27716667,0.069212,2454965.141
222,Kepler-11 b,10.3039,19.80767278,41.90911111,0.1715,2455589.738
223,Kepler-11 c,13.0241,19.80767278,41.90911111,0.189333,2455583.349
224,Kepler-11 d,22.6845,19.80767278,41.90911111,0.23275,2455594.007
225,Kepler-11 e,31.9996,19.80767278,41.90911111,0.173542,2454987.159
226,Kepler-11 f,46.6888,19.80767278,41.90911111,0.267958,2454964.649
227,Kepler-11 g,118.3807,19.80767278,41.90911111,0.4,2455120.29
228,Kepler-110 b,12.691112,19.52861111,48.60281111,0.156458,2454970.123
229,Kepler-110 c,31.719775,19.52861111,48.60281111,0.200958,2454975.821
230,Kepler-1100 b,6.42200058,19.45809167,44.08738889,0.110842,2454967.581
231,Kepler-1101 b,81.3151059,19.63795833,45.67125,0.24008,2455008.997
232,Kepler-1102 b,51.3285623,18.75483889,48.0665,0.39329,2455010.672
233,Kepler-1103 b,19.79191978,19.15880556,49.45238889,0.13217,2454982.309
234,Kepler-1104 b,5.03728015,19.63123611,49.33102778,0.078533,2454967.109
235,Kepler-1105 b,4.42157218,18.74078333,42.45494444,0.086454,2454965.184
236,Kepler-1106 b,1.25275217,19.40968056,44.06255556,0.086479,2454966.171
237,Kepler-1107 b,0.57103852,19.40332778,39.14166667,0.04342,2454964.654
238,Kepler-1108 b,4.51005748,19.73615556,45.98513889,0.090021,2454967.567
239,Kepler-1109 b,37.6467384,19.44308333,39.39661111,0.25488,2454994.464
240,Kepler-111 b,3.341815,19.44355,44.68826944,0.115375,2454974.356
241,Kepler-111 c,224.784608,19.44355,44.68826944,0.466417,2454975.096
242,Kepler-1110 b,9.69312032,19.45386944,38.62269444,0.11496,2454967.53
243,Kepler-1111 b,8.79617863,19.69755833,45.81275,0.141608,2454968.677
244,Kepler-1112 b,14.36267939,19.79792222,47.7515,0.192729,2454974.436
245,Kepler-1113 b,42.3004954,19.29378056,39.33883333,0.18325,2455001.779
246,Kepler-1114 b,14.97435694,19.94912778,45.83469444,0.101287,2454974.502
247,Kepler-1115 b,23.5540725,19.66611944,40.14441667,0.29829,2454977.212
248,Kepler-1116 b,41.6977827,19.46224444,44.1155,0.22596,2454967.244
249,Kepler-1117 b,4.79028459,19.47231944,49.23747222,0.113696,2454967.954
250,Kepler-1118 b,38.6715075,19.99771111,44.16088889,0.23196,2454990.621
251,Kepler-1119 b,8.3265153,19.801275,44.32752778,0.22429,2454968.587
252,Kepler-112 b,8.408878,19.79873056,43.20975,0.145208,2454967.006
253,Kepler-112 c,28.574263,19.79873056,43.20975,0.206792,2454976.831
254,Kepler-1120 b,2.94902905,19.3943,42.28658333,0.084971,2454966.136
255,Kepler-1121 b,13.15141081,19.85244167,47.88613889,0.233479,2454977.161
256,Kepler-1122 b,42.1917357,19.21870278,46.34091667,0.29617,2454988.315
257,Kepler-1123 b,4.33946454,19.63451111,50.67038889,0.095721,2454965.802
258,Kepler-1124 b,2.85234897,19.10628611,37.89127778,0.02942,2454965.044
259,Kepler-1125 b,17.6700642,19.69874722,40.73197222,0.2405,2454964.598
260,Kepler-1126 b,108.593329,19.04613333,45.68938889,0.33283,2455006.751
261,Kepler-1127 b,5.12330347,19.547825,42.72069444,0.124933,2454965.086
262,Kepler-1128 b,61.6178167,19.53755556,39.40344444,0.15633,2455012.079
263,Kepler-1129 b,24.3397804,19.4403,41.30936111,0.13717,2454969.059
264,Kepler-1129 c,76.5369586,19.4403,41.30936111,0.23721,2454997.155
265,Kepler-1130 b,5.45298175,19.01383333,45.38436111,0.087713,2454967.151
266,Kepler-1131 b,3.53232449,19.7101,49.26130556,0.116967,2454967.745
267,Kepler-1132 b,62.8916228,19.09116389,48.42394444,0.28613,2454972.13
268,Kepler-1133 b,11.55562343,19.55482778,42.86747222,0.0689,2454971.196
269,Kepler-1134 b,17.13263989,19.70453333,42.47827778,0.12725,2454980.155
270,Kepler-1135 b,76.957857,19.06686389,44.75658333,0.391,2455025.332
271,Kepler-1136 b,2.36172433,18.94051944,44.24580556,0.050975,2454966.239
272,Kepler-1137 b,23.9210791,19.14201944,48.66536111,0.1955,2454972.076
273,Kepler-1138 b,3.17060005,19.05995,48.30730556,0.065742,2454965.677
274,Kepler-1139 b,0.81316672,19.196375,39.23055556,0.059483,2454964.825
275,Kepler-114 b,5.188549,19.60808889,48.34951944,0.101458,2454978.363
276,Kepler-1140 b,24.0862707,18.7796,46.94644444,0.092863,2454981.202
277,Kepler-1141 b,2.34451194,19.369575,47.72588889,0.05825,2454965.873
278,Kepler-1142 b,18.3027248,19.51429444,44.08233333,0.34017,2454975.892
279,Kepler-1143 b,2.88890485,19.15352222,39.28969444,0.064742,2454965.153
280,Kepler-1143 c,210.630591,19.15352222,39.28969444,0.36146,2455133.728
281,Kepler-1144 b,17.14647302,19.33621944,47.25797222,0.16004,2454973.661
282,Kepler-1145 b,3.97076766,19.68721111,43.04441667,0.07558,2454967.639
283,Kepler-1146 b,2.3522658,19.11444167,47.42563889,0.07113,2454964.804
284,Kepler-1147 b,10.62784997,19.50316944,41.64294444,0.20888,2454970.822
285,Kepler-1148 b,1.10446351,19.39690278,45.71952778,0.043946,2454965.321
286,Kepler-1149 b,3.73089898,19.61261667,45.15158333,0.11696,2454965.895
287,Kepler-115 b,2.403679,19.84746111,45.26191944,0.0544167,2454967.728
288,Kepler-115 c,8.990889,19.84746111,45.26192222,0.170125,2454969.738
289,Kepler-1150 b,2.78786839,19.78163333,49.53272222,0.084383,2454966.904
290,Kepler-1151 b,65.6478424,19.48318611,47.87844444,0.18383,2455006.305
291,Kepler-1152 b,1.64680191,19.36226944,44.10763889,0.052338,2454965.061
292,Kepler-1153 b,1.75583533,19.27648056,45.86616667,0.075567,2454966.157
293,Kepler-1154 b,5.1856142,19.83180833,39.87725,0.16983,2454965.321
294,Kepler-1154 c,8.45808312,19.83180833,39.87725,0.12783,2454970.059
295,Kepler-1155 b,33.469743,19.25470556,39.52283333,0.18804,2454973.151
296,Kepler-1156 b,11.89520511,19.26160278,46.05763889,0.146,2454965.89
297,Kepler-1157 b,4.45743164,18.87473611,43.52563889,0.098237,2454965.16
298,Kepler-1158 b,13.5396293,19.48226389,41.57522222,0.18075,2454976.152
299,Kepler-1159 b,22.70816791,19.61775556,45.20430556,0.15138,2454966.722
300,Kepler-116 b,5.968734,19.64946944,43.53683056,0.151625,2454970.158
301,Kepler-116 c,13.07163,19.64946944,43.53683056,0.126,2454977.433
302,Kepler-1160 b,7.97034958,19.19195833,43.36408333,0.115271,2454969.558
303,Kepler-1161 b,10.71252541,19.93847222,45.44063889,0.113413,2454970.166
304,Kepler-1162 b,32.5637069,18.88614167,45.43411111,0.23117,2454996.456
305,Kepler-1163 b,6.11786898,19.34905556,50.03008333,0.1446,2454966.616
306,Kepler-1164 b,3.97599768,19.16864167,38.8945,0.089212,2454966.621
307,Kepler-1165 b,9.478522,19.13141667,44.70830556,0.25929,2454973.167
308,Kepler-1166 b,33.2406882,19.35656667,50.90286111,0.20758,2454976.462
309,Kepler-1167 b,1.00393374,19.88684722,47.69402778,0.060675,2454965.097
310,Kepler-1168 b,55.8226539,19.15318056,47.45544444,0.22888,2455002.036
311,Kepler-1169 b,6.11009134,19.66077222,46.49147222,0.10196,2454969.913
312,Kepler-117 b,18.795952,19.25286944,48.04023056,0.313417,2454978.82
313,Kepler-117 c,50.790412,19.25286944,48.04023056,0.454083,2454968.631
314,Kepler-1170 b,9.98969327,19.47790556,43.77966667,0.15433,2454966.761
315,Kepler-1171 b,1.44259224,19.66392778,38.59158333,0.125629,2454967.072
316,Kepler-1172 b,26.0204423,19.36496667,37.76661111,0.2017,2454987.525
317,Kepler-1173 b,0.7698536,19.54207222,45.66355556,0.042817,2454965.521
318,Kepler-1174 b,6.89225223,18.78876389,42.29891667,0.102317,2454965.464
319,Kepler-1175 b,37.94563,19.27618056,46.81288889,0.16771,2454967.783
320,Kepler-1176 b,24.1738579,19.86131389,45.27416667,0.12737,2454968.624
321,Kepler-1177 b,106.247547,19.11142778,49.40627778,0.5695,2454968.745
322,Kepler-1178 b,31.80634,19.23040278,45.80211111,0.15808,2454983.664
323,Kepler-1179 b,2.68505749,18.93984167,47.81063889,0.042621,2454965.604
324,Kepler-118 b,7.518496,19.94753889,41.42483056,0.119042,2454965.537
325,Kepler-118 c,20.17202,19.94753889,41.42483056,0.1295,2454974.208
326,Kepler-1180 b,16.8601286,19.72583333,43.15605556,0.23137,2454972.846
327,Kepler-1181 b,4.89337519,19.31648889,39.52347222,0.13817,2454966.643
328,Kepler-1182 b,11.17394617,19.75386389,43.82136111,0.14254,2454967.704
329,Kepler-1183 b,28.5057189,19.48216111,38.89222222,0.2605,2454965.92
330,Kepler-1184 b,53.5991044,19.41880278,46.966,0.27758,2454980.429
331,Kepler-1185 b,104.3518976,19.14941111,39.33275,0.14942,2455023.102
332,Kepler-1186 b,16.07677615,19.231975,47.10177778,0.09321,2454976.388
333,Kepler-1187 b,18.87064068,19.12613333,38.31855556,0.135317,2454976.955
334,Kepler-1188 b,17.1369543,18.87358889,43.14805556,0.26525,2454974.014
335,Kepler-1189 b,3.78858982,19.89508889,47.94677778,0.1455,2454967.623
336,Kepler-119 b,2.422082,19.72976111,42.65891944,0.10725,2454965.939
337,Kepler-119 c,4.125103,19.72976111,42.65891944,0.118333,2454966.641
338,Kepler-1190 b,10.45843441,18.999975,49.47997222,0.12925,2454970.65
339,Kepler-1191 b,5.60014851,19.44385278,48.00930556,0.116742,2454968.962
340,Kepler-1192 b,25.2034787,18.80937222,43.89658333,0.18967,2454970.562
341,Kepler-1193 b,2.83265213,19.20965,51.27563889,0.09935,2454964.826
342,Kepler-1194 b,16.22371307,19.44663611,38.14527778,0.10425,2454969.027
343,Kepler-1195 b,8.49642241,18.95673889,40.85297222,0.093221,2454971.735
344,Kepler-1196 b,66.1849031,19.49130278,43.91080556,0.1995,2454974.615
345,Kepler-1197 b,2.03231845,19.44461944,42.59072222,0.046725,2454965.644
346,Kepler-1198 b,7.6847716,19.2556,44.83825,0.10829,2454970.64
347,Kepler-1199 b,15.0447198,19.581725,47.24705556,0.24246,2454966.207
348,Kepler-12 b,4.4379637,19.08289639,50.04033333,0.19573,2455004.008
